date,op,iterations,warmup_iterations,size,min,q1,med,avg,q3,max,busy_spin
2025-12-18,noop,100000,100,0,0.000005245,0.000010729,0.000010729,0.000010992,0.000010729,0.000599623,false
2025-12-18,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005708,0.000005722,0.000596046,true
2025-12-19,noop,100000,100,0,0.000005484,0.000010490,0.000010729,0.000010982,0.000010729,0.000568151,false
2025-12-19,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005695,0.000005722,0.000564098,true
2025-12-21,noop,100000,100,0,0.000005245,0.000010729,0.000010729,0.000010996,0.000010967,0.000666857,false
2025-12-21,noop,100000,100,0,0.000005245,0.000005484,0.000005484,0.000005670,0.000005722,0.000584364,true
2025-12-22,noop,100000,100,0,0.000005484,0.000010490,0.000010490,0.000010949,0.000010729,0.000586271,false
2025-12-22,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005725,0.000005722,0.000593185,true
2025-12-23,noop,100000,100,0,0.000004768,0.000009060,0.000009060,0.000009277,0.000009060,0.000573158,false
2025-12-23,noop,100000,100,0,0.000005484,0.000005722,0.000005722,0.000005767,0.000005722,0.000582457,true
2025-12-27,noop,100000,100,0,0.000004768,0.000008821,0.000008821,0.000009099,0.000009060,0.000526905,false
2025-12-27,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005716,0.000005722,0.000149250,true
2025-12-28,noop,100000,100,0,0.000005484,0.000010729,0.000010729,0.000011035,0.000010967,0.000602007,false
2025-12-28,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005699,0.000005722,0.000594378,true
2025-12-29,noop,100000,100,0,0.000005484,0.000010729,0.000010729,0.000010972,0.000010729,0.000571728,false
2025-12-29,noop,100000,100,0,0.000005245,0.000005722,0.000005722,0.000005791,0.000005722,0.000571966,true
2025-12-30,noop,100000,100,0,0.000005245,0.000012159,0.000012159,0.000012209,0.000012159,0.000168562,false
2025-12-30,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005698,0.000005722,0.000150919,true
2025-12-31,noop,100000,100,0,0.000005245,0.000010729,0.000011444,0.000011399,0.000011683,0.000166178,false
2025-12-31,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005728,0.000005722,0.000577450,true
2026-01-01,noop,100000,100,0,0.000004530,0.000008821,0.000008821,0.000009011,0.000008821,0.000586987,false
2026-01-01,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005724,0.000005722,0.000601053,true
2026-01-03,noop,100000,100,0,0.000005245,0.000010729,0.000010729,0.000010943,0.000010729,0.000535488,false
2026-01-03,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005697,0.000005722,0.000578165,true
2026-01-04,noop,100000,100,0,0.000005245,0.000010490,0.000010490,0.000010762,0.000010490,0.000590324,false
2026-01-04,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005722,0.000005722,0.000772476,true
2026-01-05,noop,100000,100,0,0.000004768,0.000008821,0.000008821,0.000009003,0.000008821,0.000561237,false
2026-01-05,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005691,0.000005722,0.000158787,true
2026-01-19,noop,100000,100,0,0.000005245,0.000009775,0.000010014,0.000010316,0.000010252,0.000575304,false
2026-01-19,noop,100000,100,0,0.000005245,0.000005484,0.000005484,0.000005638,0.000005722,0.000154257,true
2026-01-20,noop,100000,100,0,0.000005245,0.000010014,0.000010014,0.000010253,0.000010014,0.000547886,false
2026-01-20,noop,100000,100,0,0.000004768,0.000004768,0.000005007,0.000005024,0.000005007,0.000530005,true
2026-01-21,noop,100000,100,0,0.000004768,0.000009298,0.000009298,0.000009661,0.000009537,0.000562906,false
2026-01-21,noop,100000,100,0,0.000004530,0.000004768,0.000005007,0.000005000,0.000005007,0.000543594,true
2026-01-22,noop,100000,100,0,0.000005245,0.000010014,0.000010014,0.000010310,0.000010252,0.000565052,false
2026-01-22,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005678,0.000005722,0.000527859,true
2026-01-23,noop,100000,100,0,0.000004768,0.000009298,0.000009298,0.000009625,0.000009537,0.000537872,false
2026-01-23,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005719,0.000005722,0.000575542,true
2026-01-24,noop,100000,100,0,0.000004768,0.000009298,0.000009298,0.000009594,0.000009537,0.000543118,false
2026-01-24,noop,100000,100,0,0.000004530,0.000004768,0.000005007,0.000004991,0.000005007,0.000524521,true
2026-01-25,noop,100000,100,0,0.000005484,0.000010014,0.000010014,0.000010367,0.000010252,0.000551224,false
2026-01-25,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005741,0.000005722,0.000560760,true
2026-01-26,noop,100000,100,0,0.000005245,0.000010014,0.000010014,0.000010408,0.000010014,0.000565767,false
2026-01-26,noop,100000,100,0,0.000005245,0.000005484,0.000005484,0.000005644,0.000005722,0.000564337,true
2026-01-28,noop,100000,100,0,0.000004768,0.000009298,0.000009537,0.000009689,0.000009537,0.000572920,false
2026-01-28,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005706,0.000005722,0.000559092,true
2026-01-29,noop,100000,100,0,0.000005245,0.000010014,0.000010014,0.000010323,0.000010252,0.000547409,false
